"BehaviorSpace results (NetLogo 6.1.1)"
"model-1-exp.nlogo"
"experiment-25Sept2021-b"
"09/25/2021 01:36:36:400 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","[step]","number-of-people","number-of-built-systems","max-access-potential","min-access-potential","built-sys-state-min","built-sys-state-max","random-damage-limit","network-radius","seek-capability-when","share-access-potential","capability-call-help","capability-high","capability-low","capability-lim","built-sys-capability-output","built-sys-operation-threshold","sum-access-potential","avg-network-size","avg-built-sys-links-per-person","global-mean-capability-attainment","stdev-global-capability-attainment","capability-good-level-%","capability-acceptable-level-%","capability-unacceptable-level-%","avg-built-sys-state","stdev-built-sys-state","aggr-system-damages","aggr-system-recoveries","aggr-capability-provided","aggr-capability-help","aggr-access-potential-transferred","access-potential-initial-global-mean","access-potential-initial-global-stdev","max-global-mean-capability-attainment","min-global-mean-capability-attainment","max-global-mean-system-state","min-global-mean-system-state","access-potential-final-global-mean","access-potential-final-global-stdev"
"37","2038","200","12","1","0","0.3","0.9","16.74","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","95.09000000000002","6.465","5.095","0","0","0","0","100","0.16094652067731627","0.042192642164343465","48216.049206974996","50306.523299999964","170455.5","0","0","0.47545000000000015","0.2762269067634442","0.545625","0","0.6425273306839141","0.16094652067731627","0.4754500000000001","0.2762269067634442"
"31","3000","200","12","1","0","0.3","0.9","3.58","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","103.18000000000004","6.575","5.98","0.530625","0.20254640730102494","76.5","9.5","14.000000000000002","0.8034737385537252","0.1158834760150583","27558.97972847308","36429.33830000002","302456.25","0","0","0.5159000000000001","0.2801313223988791","0.6","0.463125","0.8034737385537252","0.6053228890801049","0.5159000000000002","0.280131322398879"
"46","940","200","12","1","0","0.3","0.9","24.52","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","95.07000000000005","6.495","4.285","0","0","0","0","100","0.1770963872088894","0.032015783693851135","26191.573917896316","24749.220800000003","87527.42749023438","12707.427490234357","0","0.47535000000000033","0.2847601079777106","0.5963787109375001","0","0.6077516072452281","0.1770963872088894","0.4753500000000001","0.2847601079777107"
"45","964","200","12","1","0","0.3","0.9","27.67","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","93.31999999999998","6.125","4.64","0","0","0","0","100","0.14470988890744826","0.042625494055654724","21682.29249884128","21581.45920000002","67280.25","0","1715.7839948758296","0.4666000000000002","0.2867359894366086","0.5175","0","0.5321342193407367","0.14470988890744826","0.4666000000000002","0.2867359894366086"
"49","881","200","12","1","0","0.3","0.9","23.87","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","101.77000000000005","6.405","5.625","0","0","0","0","100","0.16746810982838392","0.034487951473612576","27687.856279377476","25489.0613","84071.00058593748","10706.750585937505","0","0.50885","0.2952235802092337","0.63924609375","0","0.5250442603299055","0.16746810982838392","0.5088500000000002","0.2952235802092338"
"50","978","200","12","1","0","0.3","0.9","27.15","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","101.99999999999996","6.135","5.38","0","0","0","0","100","0.16147100205302697","0.040138769224187125","26219.058916511367","26506.37280000002","82091.25","0","0","0.5099999999999999","0.28702949264534","0.575625","0","0.5736841985494392","0.16147100205302695","0.5100000000000005","0.2870294926453399"
"44","3000","200","12","1","0","0.3","0.9","8.92","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","98.00999999999998","6.145","4.735","0.470625","0.23097438757050065","66.5","10","23.5","0.5795199447358151","0.16472714151739865","42980.54209933247","51334.750899999985","272906.25","0","0","0.49005000000000015","0.2813436845643085","0.54","0.42","0.6109239240079735","0.5781865509070467","0.49005000000000004","0.2813436845643085"
"41","3000","200","12","1","0","0.3","0.9","3.29","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","105.69000000000003","6.83","5.38","0.53625","0.2126975877133907","76.5","10.5","13","0.7954018538615988","0.13116372041389665","25968.424931519035","34783.53120000007","298937.25","0","0","0.5284500000000001","0.2869210973079567","0.58875","0.459375","0.7954018538615987","0.6426890315954915","0.5284500000000001","0.2869210973079566"
"43","3000","200","12","1","0","0.3","0.9","7.01","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","97.7","6.275","5.31","0.47625","0.2300931098402988","68","11","21","0.5425230416085038","0.20102806466579665","45079.074049859795","52868.02590000005","279015.75","0","0","0.4884999999999995","0.28787516487665926","0.564375","0.4190625","0.5436612707454748","0.5347652236906916","0.4884999999999998","0.2878751648766594"
"54","914","200","12","1","0","0.3","0.9","28.82","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","98.72000000000001","6.22","4.805","0","0","0","0","100","0.16218973731830533","0.03692175461322996","23632.72788678825","23394.58859999999","71495.25","0","0","0.49360000000000004","0.29949377725265897","0.5334375","0","0.5925316112858626","0.1621897373183053","0.4936000000000002","0.2994937772526591"
